,central_d,delay,event_label,event_length,event_recalled,events,fc,movie,net1_label,net2_label,path_length,percent_events,peri_d,subject,window,fc_mc,boundary_diff
34,1.5,2,7,98.0,1.0,7,0.021118621789922114,barmaid,postHC,PMN,,0.5,3.5,sub-102,offset,-0.06675559278651992,0.8100979439914227
35,0.0,2,8,31.0,0.0,8,-0.23566317910192722,barmaid,postHC,PMN,,0.5,0.0,sub-102,offset,-0.32353739367836926,-1.487301491200924
36,0.0,2,9,36.0,0.0,9,-0.2790041225757503,barmaid,postHC,PMN,,0.5,0.0,sub-102,offset,-0.3668783371521923,-2.2354628555476665
37,0.0,2,10,55.0,1.0,10,0.10938962799010248,barmaid,postHC,PMN,,0.5,6.0,sub-102,offset,0.021515413413660436,-0.3386218398809433
38,0.0,2,11,63.0,1.0,11,0.8349438250824948,barmaid,postHC,PMN,,0.5,7.0,sub-102,offset,0.7470696105060527,-0.63633032143116
39,0.0,2,12,63.0,0.0,12,0.031305547880637115,barmaid,postHC,PMN,,0.5,0.0,sub-102,offset,-0.056568666695804924,0.609520809724927
40,0.0,2,13,81.0,0.0,13,-0.1771002099133198,barmaid,postHC,PMN,,0.5,0.0,sub-102,offset,-0.26497442448976183,1.4070587009191513
41,3.5,2,14,111.0,1.0,14,0.08471184401452626,barmaid,postHC,PMN,,0.5,3.5,sub-102,offset,-0.0031623705619157755,-0.22244736552238464
42,2.5,2,1,48.0,1.0,1,-0.06508510236206777,barmaid,postHC,PMN,,0.42857142857142855,2.5,sub-103,offset,-0.2161916774539681,1.6669641435146332
43,0.0,2,2,32.0,0.0,2,0.40198504122499795,barmaid,postHC,PMN,,0.42857142857142855,0.0,sub-103,offset,0.2508784661330976,-1.6728187091648579
44,3.5,2,3,51.0,1.0,3,-0.45336720105678835,barmaid,postHC,PMN,,0.42857142857142855,3.5,sub-103,offset,-0.6044737761486887,0.16804686933755875
45,0.0,2,4,24.0,0.0,4,0.6114881993232392,barmaid,postHC,PMN,,0.42857142857142855,0.0,sub-103,offset,0.4603816242313388,-0.22017919458448887
46,0.0,2,5,91.0,0.0,5,-0.13966665364848777,barmaid,postHC,PMN,,0.42857142857142855,0.0,sub-103,offset,-0.29077322874038813,0.19719458371400833
47,0.0,2,6,41.0,0.0,6,0.3807430446766205,barmaid,postHC,PMN,,0.42857142857142855,0.0,sub-103,offset,0.22963646958472017,0.08403719216585159
48,0.0,2,7,98.0,0.0,7,0.1442132377402291,barmaid,postHC,PMN,,0.42857142857142855,0.0,sub-103,offset,-0.006893337351671247,0.35411933436989784
49,1.5,2,8,31.0,1.0,8,-0.0073288410498948235,barmaid,postHC,PMN,,0.42857142857142855,1.0,sub-103,offset,-0.15843541614179515,0.9455124512314796
50,0.0,2,9,36.0,1.0,9,-0.13171996926263765,barmaid,postHC,PMN,,0.42857142857142855,3.0,sub-103,offset,-0.282826544354538,-0.5655910149216652
51,0.0,2,10,55.0,0.0,10,0.31622634392965665,barmaid,postHC,PMN,,0.42857142857142855,0.0,sub-103,offset,0.1651197688377563,0.3006937801837921
52,3.0,2,11,63.0,1.0,11,0.5554319959909626,barmaid,postHC,PMN,,0.42857142857142855,2.0,sub-103,offset,0.40432542089906226,0.7013211641460657
53,0.0,2,12,63.0,0.0,12,0.7147993053901612,barmaid,postHC,PMN,,0.42857142857142855,0.0,sub-103,offset,0.5636927302982608,0.1238856241106987
54,0.0,2,13,81.0,0.0,13,0.535563480567962,barmaid,postHC,PMN,,0.42857142857142855,0.0,sub-103,offset,0.38445690547606165,-0.7716607749462128
55,5.0,2,14,111.0,1.0,14,0.8107321098688959,barmaid,postHC,PMN,,0.42857142857142855,4.0,sub-103,offset,0.6596255347769955,0.946913406252861
56,3.0,0,1,48.0,1.0,1,-0.06976719403175578,barmaid,postHC,PMN,,0.8571428571428571,4.0,sub-104,offset,-0.35490577896850956,1.0132777243852615
57,0.0,0,2,32.0,1.0,2,0.17552675620857636,barmaid,postHC,PMN,,0.8571428571428571,3.0,sub-104,offset,-0.1096118287281774,-2.2440985534340143
58,6.5,0,3,51.0,1.0,3,-0.10357310098682691,barmaid,postHC,PMN,,0.8571428571428571,3.5,sub-104,offset,-0.3887116859235807,-0.8850684240460396
59,1.5,0,4,24.0,1.0,4,0.8025354082736205,barmaid,postHC,PMN,,0.8571428571428571,4.5,sub-104,offset,0.5173968233368667,-0.9890168942511082
60,1.0,0,5,91.0,1.0,5,0.22830134926317255,barmaid,postHC,PMN,,0.8571428571428571,3.5,sub-104,offset,-0.056837235673581205,1.3387051969766617
61,1.0,0,6,41.0,1.0,6,0.46233257599814764,barmaid,postHC,PMN,,0.8571428571428571,7.5,sub-104,offset,0.17719399106139389,1.456149677745998
62,1.5,0,7,98.0,1.0,7,0.38030060771248886,barmaid,postHC,PMN,,0.8571428571428571,6.0,sub-104,offset,0.0951620227757351,3.5565560162067413
63,0.0,0,8,31.0,1.0,8,-0.06040932488777947,barmaid,postHC,PMN,,0.8571428571428571,6.0,sub-104,offset,-0.3455479098245332,-0.6870778203010559
64,0.0,0,9,36.0,1.0,9,0.2972689697528815,barmaid,postHC,PMN,,0.8571428571428571,12.0,sub-104,offset,0.012130384816127715,2.348609507083893
65,0.0,0,10,55.0,0.0,10,0.2878866287824542,barmaid,postHC,PMN,,0.8571428571428571,0.0,sub-104,offset,0.002748043845700432,3.3049491345882416
66,3.0,0,11,63.0,1.0,11,0.5582105128878946,barmaid,postHC,PMN,,0.8571428571428571,8.0,sub-104,offset,0.2730719279511408,-2.323927789926529
67,0.0,0,12,63.0,0.0,12,0.6236263201935158,barmaid,postHC,PMN,,0.8571428571428571,0.0,sub-104,offset,0.33848773525676207,-0.26913244277238846
68,0.5,0,13,81.0,1.0,13,0.22387772914645984,barmaid,postHC,PMN,,0.8571428571428571,6.5,sub-104,offset,-0.06126085579029392,1.4571608155965805
