,central_d,delay,event_label,event_length,event_recalled,events,fc,movie,net1_label,net2_label,path_length,percent_events,peri_d,subject,window,boundary_diff,total_details,total_details_log,peri_d_log,fc_mc
14,3.5,0,1,48.0,1.0,1,-0.1737327717048743,barmaid,postHC,PMN,,1.0,32.0,sub-101,offset,-0.7568800449371338,35.5,3.56953269648137,3.4657359027997265,-0.3241218442125564
15,0.5,0,2,32.0,1.0,2,0.13906774567015828,barmaid,postHC,PMN,,1.0,14.5,sub-101,offset,0.09053941071033478,15.0,2.70805020110221,2.6741486494265287,-0.011321326837523848
16,4.0,0,3,51.0,1.0,3,0.08333642028806905,barmaid,postHC,PMN,,1.0,7.5,sub-101,offset,-0.20137269794940948,11.5,2.4423470353692043,2.0149030205422647,-0.06705265221961308
17,0.5,0,4,24.0,1.0,4,0.2745644685793123,barmaid,postHC,PMN,,1.0,6.0,sub-101,offset,0.727389320731163,6.5,1.8718021769015913,1.791759469228055,0.1241753960716302
18,2.5,0,5,91.0,1.0,5,0.22165898623445804,barmaid,postHC,PMN,,1.0,1.0,sub-101,offset,0.33612242341041565,3.5,1.252762968495368,0.0,0.07126991372677591
19,2.0,0,6,41.0,1.0,6,0.31515403187912283,barmaid,postHC,PMN,,1.0,11.0,sub-101,offset,0.10915026627480984,13.0,2.5649493574615367,2.3978952727983707,0.1647649593714407
20,4.0,0,7,98.0,1.0,7,0.013477228888549462,barmaid,postHC,PMN,,1.0,14.5,sub-101,offset,0.624354362487793,18.5,2.917770732084279,2.6741486494265287,-0.13691184361913267
21,0.0,0,8,31.0,1.0,8,0.0795230657657705,barmaid,postHC,PMN,,1.0,11.5,sub-101,offset,-1.2576504349708557,11.5,2.4423470353692043,2.4423470353692043,-0.07086600674191162
22,0.0,0,9,36.0,1.0,9,0.16416776731199506,barmaid,postHC,PMN,,1.0,7.0,sub-101,offset,-0.31288618594408035,7.0,1.9459101490553132,1.9459101490553132,0.01377869480431293
23,0.0,0,10,55.0,1.0,10,0.28971492689556,barmaid,postHC,PMN,,1.0,12.0,sub-101,offset,0.39107498433440924,12.0,2.4849066497880004,2.4849066497880004,0.13932585438787787
24,3.5,0,11,63.0,1.0,11,0.019977151435484508,barmaid,postHC,PMN,,1.0,19.5,sub-101,offset,-0.6652725664898753,23.0,3.1354942159291497,2.970414465569701,-0.13041192107219762
25,3.0,0,12,63.0,1.0,12,-0.07147226375198244,barmaid,postHC,PMN,,1.0,16.0,sub-101,offset,-0.010259326547384262,19.0,2.9444389791664403,2.772588722239781,-0.2218613362596646
26,1.0,0,13,81.0,1.0,13,-0.19494515060330775,barmaid,postHC,PMN,,1.0,22.0,sub-101,offset,-0.39478881657123566,23.0,3.1354942159291497,3.091042453358316,-0.3453342231109899
27,5.5,0,14,111.0,1.0,14,0.12041161529040266,barmaid,postHC,PMN,,1.0,30.0,sub-101,offset,3.070892609655857,35.5,3.56953269648137,3.4011973816621555,-0.02997745721727947
